Year,Country Code,Value,Variable
1986,AUS,28749.882,"Gross domestic product per capita, constant prices"
1987,AUS,29685.854,"Gross domestic product per capita, constant prices"
1988,AUS,30406.099,"Gross domestic product per capita, constant prices"
1989,AUS,31349.165,"Gross domestic product per capita, constant prices"
1990,AUS,31391.676,"Gross domestic product per capita, constant prices"
1991,AUS,30705.221,"Gross domestic product per capita, constant prices"
1992,AUS,31179.117,"Gross domestic product per capita, constant prices"
1993,AUS,32108.061,"Gross domestic product per capita, constant prices"
1994,AUS,33337.59,"Gross domestic product per capita, constant prices"
1995,AUS,33895.708,"Gross domestic product per capita, constant prices"
1996,AUS,34851.201,"Gross domestic product per capita, constant prices"
1997,AUS,36119.971,"Gross domestic product per capita, constant prices"
1998,AUS,37424.989,"Gross domestic product per capita, constant prices"
1999,AUS,38634.804,"Gross domestic product per capita, constant prices"
2000,AUS,39366.164,"Gross domestic product per capita, constant prices"
2001,AUS,39893.241,"Gross domestic product per capita, constant prices"
2002,AUS,41085.509,"Gross domestic product per capita, constant prices"
2003,AUS,41845.946,"Gross domestic product per capita, constant prices"
2004,AUS,43094.544,"Gross domestic product per capita, constant prices"
