NODE,NODE_TYPE,FACILITY_TYPE,STATUS,REGION,OPERATOR,LAT,LON,SCALE_FACTOR,DEGREE,DEGREE_CENTRALITY,BETWEENNESS_CENTRALITY,EIGENVECTOR_CENTRALITY,CLOSENESS_CENTRALITY,COMMUNITY
Cerro Bayo,mine,Mine (active),Active,Aysén del General Carlos Ibáñez del Campo,Compañía Minera Cerro Bayo Ltda. ,-46.509999999999934,-71.96999999999997,2.277,2,0.00707,3e-05,0.0,0.00707,0
Cerro Casale,mine,Prospect/Project,Prospect/Project,Atacama,nan,-27.793999999999983,-69.27899999999994,3.758,4,0.01413,0.0,0.0,0.16076,11
Cerro Colorado,mine,Mine (idle),Idle,Tarapacá,Compañía Minera Cerro Colorado ,-20.043999999999983,-69.26499999999999,4.056,4,0.01413,0.0,8e-05,0.10222,6
Cerro Imán,mine,Mine (idle),Idle,Atacama,nan,-27.26499999999993,-70.41666699999996,1.0,3,0.0106,0.01271,0.0,0.16028,5
Cerro Negro,mine,Mine (active),Active,Valparaíso,nan,-32.577999999999975,-70.85699999999997,3.331,9,0.0318,0.01022,0.0,0.12659,1
Cerro Negro Norte,mine,Mine (active),Active,Atacama,nan,-27.10833299999996,-70.34305599999993,4.756,3,0.0106,0.0,0.0,0.16028,5
Challacollo,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-20.89539999999994,-69.33932999999996,2.325,1,0.00353,0.0,0.0,0.1006,6
Chañarcillo,mine,Mine (idle),Idle,Atacama,nan,-27.81388899999996,-70.41888899999998,1.0,2,0.00707,0.0008,0.0,0.16751,11
Chimborazo,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-24.147999999999968,-69.13599999999997,3.648,10,0.03534,0.0,0.11081,0.14898,14
Chiquinquira,mine,Mine (idle),Idle,Tarapacá,nan,-19.749999999999943,-69.91999999999996,1.0,3,0.0106,0.00048,0.0,0.0225,15
Chuquicamata,mine,Mine (active),Active,Antofagasta,Corporación Nacional del Cobre (CODELCO),-22.299999999999955,-68.89499999999998,4.457,16,0.05654,0.02351,0.03319,0.12886,7
Ciclón-Exploradora,mine,Prospect/Project,Prospect/Project,Antofagasta,nan,-25.84299999999996,-69.30499999999995,3.416,7,0.02473,0.0,0.0,0.16988,11
Cinabrio,mine,Mine (active),Active,Coquimbo,nan,-30.71999999999997,-71.21299999999997,2.991,3,0.0106,0.0,0.0,0.15498,13
Collahuasi,mine,Mine (active),Active,Tarapacá,Compañía Minera Doña Inés de Collahuasi SCM ,-20.972999999999956,-68.70299999999997,4.492,8,0.02827,0.00579,0.00096,0.12614,6
Colliguay,mine,Mine (active),Active,Valparaíso,nan,-33.190999999999974,-71.14899999999994,1.0,2,0.00707,0.0,0.0,0.10022,1
Copaquire,mine,Prospect/Project,Prospect/Project,Tarapacá,nan,-20.91599999999994,-68.89399999999995,3.172,7,0.02473,8e-05,0.00046,0.1257,6
Costa Fuego,mine,Prospect/Project,Prospect/Project,Atacama,nan,-28.714999999999975,-70.80499999999995,3.953,4,0.01413,0.23818,0.0,0.18223,13
Cristales,mine,Mine (idle),Idle,Atacama,Compañía Minera del Pacífico S.A. (CMP),-29.15095999999994,-71.04173899999995,4.387,6,0.0212,0.00035,0.0,0.13365,5
Diego de Almagro,mine,Prospect/Project,Prospect/Project,Atacama,nan,-26.375999999999976,-70.16299999999995,3.467,11,0.03887,0.00789,0.0,0.19197,11
Distrito Algarrobo-El Roble,mine,Mine (idle),Idle,Atacama,nan,-27.029999999999973,-70.52999999999997,1.0,7,0.02473,0.01381,0.0,0.18441,11
Distrito Arqueros,mine,Mine (idle),Idle,Coquimbo,nan,-29.786999999999978,-70.91399999999999,1.0,5,0.01767,0.01218,0.0,0.17096,13
Distrito Astilla,mine,Mine (idle),Idle,Atacama,nan,-28.289999999999964,-70.86999999999995,1.0,5,0.01767,0.0007,0.0,0.16829,13
Distrito Caracoles,mine,Mine (idle),Idle,Antofagasta,nan,-23.053610999999933,-69.00888899999995,1.0,1,0.00353,0.0,0.00058,0.14026,14
