FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL
Barquito,port,-27.07,-70.84,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.04,kMT,3.18
Caldera,port,-27.07,-70.82,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.26,kMT,3.18
Coloso,port,-23.76,-70.45,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,1.08,kMT,3.18
Coquimbo,port,-29.96,-71.35,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.08,kMT,3.18
Mejillones,port,-23.1,-70.45,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.19,kMT,3.18
Patache,port,-20.8,-70.22,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.34,kMT,3.18
San Antonio,port,-33.59,-71.62,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.04,kMT,3.18
Ventanas,port,-32.74,-71.49,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,,0.33,kMT,3.18
Angamos,port,-23.1,-70.42,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.04,kMT,0.69
Antofagasta (ATI),port,-23.65,-70.4,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.03,kMT,0.69
Barquito,port,-27.07,-70.84,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.01,kMT,0.69
Caldera,port,-27.07,-70.82,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.06,kMT,0.69
Coloso,port,-23.76,-70.45,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,,0.24,kMT,0.69
