FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Antofagasta (ATI),port,-23.65,-70.4,Thailand,country,13.76,100.5,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Thailand,country,13.76,100.5,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Thailand,country,13.76,100.5,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Thailand,country,13.76,100.5,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,Turkey,country,41.01,28.98,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,UAE,country,25.2,55.27,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,concentrate,Copper,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,blister,Copper,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,USA,country,29.76,-95.37,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,United Kingdom,country,51.51,-0.13,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,United Kingdom,country,51.51,-0.13,port_to_country,iodine,Iodine,
Antofagasta (ATI),port,-23.65,-70.4,Vietnam,country,10.82,106.63,port_to_country,cathode,Copper,
Antofagasta (ATI),port,-23.65,-70.4,Vietnam,country,10.82,106.63,port_to_country,concentrate,Molybdenum,
Antofagasta (ATI),port,-23.65,-70.4,Vietnam,country,10.82,106.63,port_to_country,lithium_compounds,Lithium,
Antofagasta (ATI),port,-23.65,-70.4,Vietnam,country,10.82,106.63,port_to_country,iodine,Iodine,
Barquito,port,-27.07,-70.84,Argentina,country,-34.6,-58.38,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Belgium,country,51.26,4.35,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Brazil,country,-23.55,-46.63,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Brazil,country,-23.55,-46.63,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Bulgaria,country,42.7,23.32,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Canada,country,49.28,-123.12,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,China,country,31.23,121.47,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,China,country,31.23,121.47,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Colombia,country,4.71,-74.07,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Finland,country,60.17,24.94,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,France,country,48.86,2.35,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Germany,country,53.55,9.99,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Greece,country,37.98,23.73,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,India,country,19.08,72.88,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Indonesia,country,-6.21,106.85,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Italy,country,45.46,9.19,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Japan,country,35.68,139.69,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Malaysia,country,3.14,101.69,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Malaysia,country,3.14,101.69,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Mexico,country,19.43,-99.13,port_to_country,concentrate,Copper,
Barquito,port,-27.07,-70.84,Mexico,country,19.43,-99.13,port_to_country,cathode,Copper,
Barquito,port,-27.07,-70.84,Netherlands,country,51.92,4.48,port_to_country,concentrate,Copper,
