n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
888,240,33,0.7150746169749183,0.5113145801513623,0.715321934696858,0.5110926192133611,0.7150339252346285,0.5113510906529357,0.6902483715783327,0.5331254382881284,48
1004,270,31,0.7019273108370987,0.4964220131151699,0.7041368196625564,0.49457868920933856,0.7016589593906808,0.49664542438441817,0.6641662645408364,0.5269289970856315,49
1270,340,36,0.5963727405900954,0.5118019189746181,0.6181815616673434,0.4977830608842752,0.5990966321111514,0.5100720396550699,0.7345681288132604,0.41503832309672417,50
973,265,32,0.7480903426271333,0.5035353152210539,0.7458858112544646,0.5057338044942078,0.7476371247478497,0.5039880740731563,0.7906662942113084,0.45901524238242286,51
935,255,31,0.7809886857372159,0.45375121317317185,0.7839003834014082,0.4507248695507289,0.7810169857033067,0.4537218960604014,0.7719576768966597,0.4630120052571479,52
728,200,28,0.7332390860193416,0.5058030558879879,0.7498788976645085,0.48977376425052155,0.7329497500381844,0.506077285271525,0.8479545765600979,0.3818625133890509,53
1203,320,39,0.7365351021993252,0.5337054925749154,0.7581465484376261,0.5113478527979801,0.7359569438348103,0.5342907644651982,0.811480100448195,0.45145959914175715,54
964,260,35,0.7298079333324416,0.4725115603481989,0.7362923374100566,0.46680716821791807,0.7312503829788906,0.4712485953725017,0.8020568557937278,0.4044328035330419,55
773,205,28,0.7477595955640965,0.43057774047144665,0.7485952762191632,0.4298638897065058,0.7535708194645088,0.4255889209755857,0.8306783514094502,0.35277718587167506,56
873,230,29,0.7729814086864728,0.5028022540866341,0.7670313399278239,0.5093487616900787,0.7762713900526576,0.4991456215703682,0.8051361654434955,0.4658350110264119,57
1075,285,38,0.5539731707251025,0.6305643510928117,0.5635870664504836,0.623731574179036,0.5597716820267884,0.62645215920936,0.5936900332888494,0.601835304657756,58
